,Website,multilingual,attachments,payment,formulare,contact_info,chatbot,socialmedia,digital_score,country
41,mdshst.com,2,46,yes,3,no,yes,4,0.7000000000000001,Sweden
42,cnvssqkig.in,4,13,no,0,yes,no,0,0.0,Italy
43,khimevujok.de,2,2,no,3,no,no,7,0.0,Malta
44,aotsd.com,4,0,yes,0,no,no,7,0.4,Croatia
45,gqielchlj.gov,0,4,no,13,no,no,2,0.3,Slovakia
46,rwjtzuqa.in,1,25,no,15,no,no,0,0.3,Ireland
47,jvdeiddxr.gov,3,13,no,19,yes,yes,2,0.5,Slovakia
48,jtgwkgv.in,0,38,no,7,no,yes,7,0.30000000000000004,Latvia
49,qpibcun.de,3,26,no,6,no,no,3,0.1,Hungary
50,bakyeui.gov,5,8,yes,2,no,yes,1,0.6000000000000001,Greece
51,orwnradcwe.net,1,14,no,16,yes,no,0,0.3,Cyprus
52,lsren.gov,1,14,yes,0,no,no,6,0.4,Belgium
53,jlzbl.gov,0,25,yes,15,yes,yes,7,0.8999999999999999,Spain
54,hvdlyrntxe.gov,1,41,no,11,no,yes,7,0.6,Hungary
55,zzfnaf.in,4,12,yes,18,yes,no,6,0.7,Romania
56,znzvxzh.edu,1,31,yes,13,yes,no,5,0.7999999999999999,Germany
57,zwdmbp.gov,3,38,yes,5,no,no,7,0.5,Bulgaria
58,oljzhh.com,3,48,no,5,yes,yes,4,0.30000000000000004,Lithuania
59,gmkicyiluq.org,3,31,no,12,no,no,3,0.4,Belgium
60,rkadifsibd.net,3,3,yes,18,no,no,0,0.7,Cyprus
61,lxzkntqd.org,4,29,no,7,no,no,6,0.1,Latvia
62,gibwnaqzr.in,2,36,no,1,yes,yes,4,0.30000000000000004,Finland
63,xxvglncvkt.edu,5,22,no,0,yes,no,6,0.0,Sweden
64,dxjqjvnkmw.edu,0,38,no,14,no,no,0,0.4,Croatia
65,egnvmvxft.net,3,44,yes,0,no,yes,2,0.7000000000000001,Poland
66,mrajjgn.de,1,14,yes,4,yes,no,0,0.4,Lithuania
67,tukooovgq.org,3,42,no,15,no,no,5,0.4,Portugal
68,fvcjqvutkc.de,1,28,no,18,no,yes,0,0.6,Denmark
69,vjhzge.com,5,35,yes,3,no,no,0,0.5,Italy
70,hptyc.org,5,12,yes,2,yes,yes,5,0.6000000000000001,Hungary
71,usgwwmpm.gov,5,31,no,16,yes,yes,3,0.6,Greece
72,uwayyd.de,1,6,yes,16,yes,no,7,0.7,Slovakia
73,hfzwqobr.gov,3,21,no,11,no,no,0,0.3,Sweden
74,oezov.net,5,27,no,13,no,no,5,0.4,Finland
75,tkyotxqnr.org,4,1,yes,5,no,no,4,0.4,Lithuania
76,xpoiyh.de,1,41,yes,2,yes,yes,2,0.7000000000000001,Lithuania
77,iyyqpuhioc.in,1,44,no,8,no,no,2,0.1,Netherlands
78,hikkrce.gov,3,5,no,4,no,yes,0,0.2,Spain
79,mwewgc.org,1,27,yes,16,no,no,3,0.7999999999999999,Czech Republic
80,kronbgnm.de,1,27,no,13,no,no,3,0.4,Czech Republic
81,waysmpalj.de,5,43,yes,2,yes,no,4,0.5,Luxembourg
82,nrxxrzth.org,3,43,no,0,yes,yes,0,0.30000000000000004,Cyprus
83,inpamk.in,5,19,yes,19,no,no,2,0.7,Cyprus
84,zmxfoetram.net,5,29,yes,0,yes,no,3,0.5,Bulgaria
85,vacuneofb.edu,3,10,yes,2,yes,no,0,0.4,Switzerland
86,kgokkymi.de,0,27,no,17,no,no,6,0.4,Hungary
87,icpaxrbl.gov,5,24,no,9,no,yes,3,0.2,Lithuania
88,cyubyahgat.gov,4,38,yes,2,yes,no,5,0.5,Estonia
89,epvdsg.org,4,32,no,7,no,yes,6,0.30000000000000004,Denmark
90,iylfttxwdy.de,1,0,yes,13,yes,yes,7,0.8999999999999999,Netherlands
91,jdsajs.in,4,26,yes,17,no,yes,3,0.9999999999999999,Malta
92,mwgcswuh.com,1,12,no,14,yes,yes,2,0.5,Hungary
93,yjvtzdzszb.edu,0,40,no,1,no,yes,1,0.30000000000000004,Malta
94,nvlcqukan.de,3,2,yes,9,yes,yes,6,0.6000000000000001,Slovenia
95,dnluowen.gov,3,38,no,1,yes,no,7,0.1,Portugal
96,quitzrypon.de,3,5,no,16,yes,yes,4,0.5,Lithuania
97,sikhciohyo.net,4,7,yes,7,no,yes,4,0.6000000000000001,Luxembourg
98,vmkapkfpg.edu,0,26,yes,0,yes,yes,2,0.7000000000000001,Spain
99,kitwira.net,4,8,no,8,yes,no,3,0.0,Greece
